mapping,engine,elapsed_time,memory_max,cpu_usage
files,mapping-template,124.92,10300000,20.7
files,mapping-template-rml,,OutOfMemory,
files,flex-rml,,,
files,rmlweaver-js,,,
files,rpt-sansa,505.72,14160000,1656
files,rml-streamer,1499.67,6250000,2180.21
,,,,
mixed,mapping-template,111.39,13940000,24.16
mixed,mapping-template-rml,,OutOfMemory,
mixed,flex-rml,,,
mixed,rmlweaver-js,,,
mixed,rpt-sansa,509.59,14080000,1684.4
mixed,rml-streamer,1502.2,7490000,2161.46
,,,,
nested,mapping-template,127.77,10240000,20.36
nested,mapping-template-rml,,OutOfMemory,
nested,flex-rml,,,
nested,rmlweaver-js,,,
nested,rpt-sansa,487.03,13760000,1581.59
nested,rml-streamer,1499.67,6250000,2180.21
,,,,
tabular,mapping-template,87.66,7160000,16.45
tabular,mapping-template-rml,460.45,14610853,861.01
tabular,flex-rml,,,
tabular,rmlweaver-js,,,
tabular,rpt-sansa,417.46,14110000,1427.77
tabular,rml-streamer,583.62,6390000,2212.7
