mapping,engine,elapsed_time,memory_max,cpu_usage
scale-1,mapping-template,3.84,1130000,0.84
scale-1,mapping-template-rml,11.77,3721326,24.54
scale-1,flex-rml,2.67,430000,5.32
scale-1,rmlweaver-js,,,
scale-1,rpt-sansa,59.1,2430000,168.5
scale-1,rml-streamer,34.28,4050000,82.38
,,,,
scale-10,mapping-template,12.61,2280000,2.96
scale-10,mapping-template-rml,53.08,10415980,72.86
scale-10,flex-rml,24.14,630000,47.96
scale-10,rmlweaver-js,,,
scale-10,rpt-sansa,94.31,10090000,284.4
scale-10,rml-streamer,85.51,6310000,271.84
,,,,
scale-100,mapping-template,83.23,7540000,17.46
scale-100,mapping-template-rml,467.55,14669914,865.71
scale-100,flex-rml,251.88,2450000,503.27
scale-100,rmlweaver-js,,,
scale-100,rpt-sansa,420.45,14020000,1450.93
scale-100,rml-streamer,583.62,6390000,2212.7
,,,,
scale-1000,mapping-template,,OutOfMemory,
scale-1000,mapping-template-rml,,OutOfMemory,
scale-1000,flex-rml,,,
scale-1000,rmlweaver-js,,,
scale-1000,rpt-sansa,4176.82,5520000,16223.38
scale-1000,rml-streamer,5956.17,6310000,23103.05
