mapping,engine,elapsed_time,memory_max,cpu_usage
0-perc,mapping-template-rml,16.62,3694788,28.56
0-perc,mapping-template,4.61,1460000,8.51
0-perc,flex-rml,8.59,480000,8.71
0-perc,rmlweaver-js,12.88,530000,14.69
0-perc,rpt-sansa,53.09,5610000,165.28
0-perc,rml-streamer,53.49,6090000,140.52
0-perc,rml-streamer-view-to-csv,,,
,,,,
25-perc,mapping-template-rml,14.34,5072556,24.33
25-perc,mapping-template,4.87,1520000,1.09
25-perc,flex-rml,7.46,480000,7.65
25-perc,rmlweaver-js,12.8,530000,14.77
25-perc,rpt-sansa,49.59,5270000,157.44
25-perc,rml-streamer,48.87,6110000,131.46
25-perc,rml-streamer-view-to-csv,,,
,,,,
50-perc,mapping-template-rml,11.88,3620478,21.38
50-perc,mapping-template,4.89,1530000,1.15
50-perc,flex-rml,6.75,440000,6.96
50-perc,rmlweaver-js,12.77,530000,14.87
50-perc,rpt-sansa,46.95,4490000,149.46
50-perc,rml-streamer,46.86,6100000,128.5
50-perc,rml-streamer-view-to-csv,,,
,,,,
75-perc,mapping-template-rml,9.33,2326216,18.06
75-perc,mapping-template,4.85,1530000,1.17
75-perc,flex-rml,6.24,430000,6.45
75-perc,rmlweaver-js,12.78,520000,15.16
75-perc,rpt-sansa,44.1,3100000,138.17
75-perc,rml-streamer,44.58,6100000,128.02
75-perc,rml-streamer-view-to-csv,,,
,,,,
100-perc,mapping-template-rml,6.02,1665470,12.42
100-perc,mapping-template,4.78,1520000,1.16
100-perc,flex-rml,5.73,410000,5.93
100-perc,rmlweaver-js,12.67,530000,14.57
100-perc,rpt-sansa,39.01,2290000,118.36
100-perc,rml-streamer,44.53,6110000,129.77
100-perc,rml-streamer-view-to-csv,,,
