mapping,engine,elapsed_time,memory_max,cpu_usage
0-perc,mapping-template-rml,16.91,3542831,28.89
0-perc,mapping-template,5.48,1460000,1.24
0-perc,flex-rml,7.98,480000,8.16
0-perc,rmlweaver-js,12.67,530000,14.46
0-perc,rpt-sansa,50.43,5760000,161.23
0-perc,rml-streamer,75.89,6110000,232.57
0-perc,rml-streamer-view-to-csv,,,
,,,,
25-perc,mapping-template-rml,14.44,2970750,25.03
25-perc,mapping-template,4.94,1470000,1.1
25-perc,flex-rml,7.06,480000,7.29
25-perc,rmlweaver-js,12.67,540000,14.68
25-perc,rpt-sansa,50.41,7200000,160.44
25-perc,rml-streamer,72.27,6120000,222.2
25-perc,rml-streamer-view-to-csv,,,
,,,,
50-perc,mapping-template-rml,12.65,3169382,23.02
50-perc,mapping-template,4.4,1430000,0.99
50-perc,flex-rml,5.83,460000,6.1
50-perc,rmlweaver-js,12.67,510000,14.62
50-perc,rpt-sansa,51.45,5390000,164.26
50-perc,rml-streamer,66.53,6110000,205.44
50-perc,rml-streamer-view-to-csv,,,
,,,,
75-perc,mapping-template-rml,10.2,2422362,20.21
75-perc,mapping-template,3.73,1370000,0.83
75-perc,flex-rml,4.91,440000,5.05
75-perc,rmlweaver-js,12.47,530000,14.3
75-perc,rpt-sansa,51.23,4550000,164.15
75-perc,rml-streamer,61.76,6120000,194.72
75-perc,rml-streamer-view-to-csv,,,
,,,,
100-perc,mapping-template-rml,7.42,2276118,15.37
100-perc,mapping-template,3.09,1280000,0.81
100-perc,flex-rml,3.8,430000,4.01
100-perc,rmlweaver-js,12.57,530000,14.39
100-perc,rpt-sansa,49.9,4890000,159.7
100-perc,rml-streamer,47.36,6110000,148.72
100-perc,rml-streamer-view-to-csv,,,
