mapping,engine,elapsed_time,memory_max,cpu_usage
0-perc,mapping-template,,,
0-perc,mapping-template-rml,15.85,3303727,29.74
0-perc,flex-rml,13.5,540000,16.6
0-perc,rmlweaver-js,15.52,660000,17.63
0-perc,rpt-sansa,39.69,4900000,108.15
0-perc,rml-streamer,46.73,6310000,143.48
0-perc,rml-streamer-view-to-csv,37.97,6130000,86.53
,,,,
25-perc,mapping-template,,,
25-perc,mapping-template-rml,16.57,3309023,31.01
25-perc,flex-rml,14.13,550000,17.57
25-perc,rmlweaver-js,19.61,670000,21.88
25-perc,rpt-sansa,37.53,4470000,111.72
25-perc,rml-streamer,52.05,6320000,165.56
25-perc,rml-streamer-view-to-csv,39.9,6150000,93.86
,,,,
50-perc,mapping-template,,,
50-perc,mapping-template-rml,17.84,3318939,32.85
50-perc,flex-rml,14.52,550000,18.08
50-perc,rmlweaver-js,23.19,650000,26.48
50-perc,rpt-sansa,38.88,4360000,116.14
50-perc,rml-streamer,53.68,6330000,169.89
50-perc,rml-streamer-view-to-csv,40.81,6140000,95.49
,,,,
75-perc,mapping-template,,,
75-perc,mapping-template-rml,18.69,3345465,34.18
75-perc,flex-rml,14.93,560000,19.05
75-perc,rmlweaver-js,26.36,660000,29.73
75-perc,rpt-sansa,39.69,4940000,119.45
75-perc,rml-streamer,55.31,6340000,176.28
75-perc,rml-streamer-view-to-csv,42.36,6150000,99.33
,,,,
100-perc,mapping-template,,,
100-perc,mapping-template-rml,19.29,3305291,35.61
100-perc,flex-rml,15.33,560000,19.44
100-perc,rmlweaver-js,29.93,670000,33.31
100-perc,rpt-sansa,39.48,5180000,118.27
100-perc,rml-streamer,61.84,6330000,201.3
100-perc,rml-streamer-view-to-csv,42.75,6150000,101.08
