mapping,engine,elapsed_time,memory_max,cpu_usage
1-10-0-p,mapping-template,,,
1-10-0-p,mapping-template-rml,15.53,3211587,28.35
1-10-0-p,flex-rml,13.4,550000,16.6
1-10-0-p,rmlweaver-js,15.64,660000,17.55
1-10-0-p,rpt-sansa,34.89,4930000,101.4
1-10-0-p,rml-streamer,49.29,6300000,155.98
1-10-0-p,rml-streamer-view-to-csv,37.95,6150000,86.57
,,,,
1-10-25-p,mapping-template,,,
1-10-25-p,mapping-template-rml,16.95,3283193,32.3
1-10-25-p,flex-rml,13.91,540000,17.44
1-10-25-p,rmlweaver-js,19.83,660000,22.38
1-10-25-p,rpt-sansa,37.95,4450000,112.9
1-10-25-p,rml-streamer,54.59,6320000,176.11
1-10-25-p,rml-streamer-view-to-csv,40.2,6150000,94.3
,,,,
1-10-50-p,mapping-template,,,
1-10-50-p,mapping-template-rml,17.89,3301089,32.67
1-10-50-p,flex-rml,14.11,510000,17.95
1-10-50-p,rmlweaver-js,23.1,660000,26.34
1-10-50-p,rpt-sansa,38.88,5890000,115.38
1-10-50-p,rml-streamer,53.58,6330000,171.18
1-10-50-p,rml-streamer-view-to-csv,42.34,6150000,105.6
,,,,
1-10-75-p,mapping-template,,,
1-10-75-p,mapping-template-rml,18.53,3292327,33.39
1-10-75-p,flex-rml,14.42,500000,18.67
1-10-75-p,rmlweaver-js,26.67,640000,30.31
1-10-75-p,rpt-sansa,39.7,4870000,119.45
1-10-75-p,rml-streamer,56.26,6330000,178.87
1-10-75-p,rml-streamer-view-to-csv,45.62,6150000,110.19
,,,,
1-10-100-p,mapping-template,,,
1-10-100-p,mapping-template-rml,19.1,3267915,33.81
1-10-100-p,flex-rml,15.03,500000,19.14
1-10-100-p,rmlweaver-js,30.04,640000,33.6
1-10-100-p,rpt-sansa,38.97,4130000,119.19
1-10-100-p,rml-streamer,60.14,6360000,195.16
1-10-100-p,rml-streamer-view-to-csv,47.88,6140000,116.66
,,,,
1-5-50-p,mapping-template,,,
1-5-50-p,mapping-template-rml,17.76,3335790,32.15
1-5-50-p,flex-rml,14.53,520000,18.28
1-5-50-p,rmlweaver-js,23.41,670000,26.86
1-5-50-p,rpt-sansa,38.26,4550000,115.93
1-5-50-p,rml-streamer,57.64,6330000,186.34
1-5-50-p,rml-streamer-view-to-csv,44.19,6150000,107.38
,,,,
1-10-50-p,mapping-template,,,
1-10-50-p,mapping-template-rml,17.89,3301089,32.67
1-10-50-p,flex-rml,14.11,510000,17.95
1-10-50-p,rmlweaver-js,23.1,660000,26.34
1-10-50-p,rpt-sansa,38.88,5890000,115.38
1-10-50-p,rml-streamer,53.58,6330000,171.18
1-10-50-p,rml-streamer-view-to-csv,43.67,6150000,105.6
,,,,
1-15-50-p,mapping-template,,,
1-15-50-p,mapping-template-rml,17.72,3388248,32.57
1-15-50-p,flex-rml,14.1,510000,17.85
1-15-50-p,rmlweaver-js,23.1,660000,26.18
1-15-50-p,rpt-sansa,38.88,4100000,116.98
1-15-50-p,rml-streamer,53.67,6330000,170.63
1-15-50-p,rml-streamer-view-to-csv,43.16,6150000,103.06
,,,,
1-20-50-p,mapping-template,,,
1-20-50-p,mapping-template-rml,17.41,3325513,32.12
1-20-50-p,flex-rml,14.11,510000,17.7
1-20-50-p,rmlweaver-js,23.29,640000,26.62
1-20-50-p,rpt-sansa,38.67,4710000,116.68
1-20-50-p,rml-streamer,57.54,6360000,186.61
1-20-50-p,rml-streamer-view-to-csv,43.47,6160000,103.09
