mapping,engine,elapsed_time,memory_max,cpu_usage
10-1-0-p,mapping-template,,,
10-1-0-p,mapping-template-rml,15.77,3257864,29.53
10-1-0-p,flex-rml,13.4,540000,16.38
10-1-0-p,rmlweaver-js,15.64,660000,17.77
10-1-0-p,rpt-sansa,35.2,4340000,101.3
10-1-0-p,rml-streamer,46.61,6320000,143.9
10-1-0-p,rml-streamer-view-to-csv,38.05,6150000,88.22
,,,,
10-1-25-p,mapping-template,,,
10-1-25-p,mapping-template-rml,16.69,3325030,31.56
10-1-25-p,flex-rml,13.91,550000,17.34
10-1-25-p,rmlweaver-js,19.72,650000,22.24
10-1-25-p,rpt-sansa,37.76,4590000,112.93
10-1-25-p,rml-streamer,56.04,6450000,182.68
10-1-25-p,rml-streamer-view-to-csv,40,6160000,93.57
,,,,
10-1-50-p,mapping-template,,,
10-1-50-p,mapping-template-rml,17.69,3349618,32.48
10-1-50-p,flex-rml,14.42,540000,18.17
10-1-50-p,rmlweaver-js,23,640000,26.45
10-1-50-p,rpt-sansa,38.06,4660000,111.74
10-1-50-p,rml-streamer,61.53,6380000,201.97
10-1-50-p,rml-streamer-view-to-csv,42.07,6150000,100.32
,,,,
10-1-75-p,mapping-template,,,
10-1-75-p,mapping-template-rml,18.39,3343245,33.89
10-1-75-p,flex-rml,14.62,550000,18.52
10-1-75-p,rmlweaver-js,26.37,640000,30.36
10-1-75-p,rpt-sansa,39.79,4050000,119.59
10-1-75-p,rml-streamer,60.92,6360000,198.81
10-1-75-p,rml-streamer-view-to-csv,45.08,6140000,108.71
,,,,
10-1-100-p,mapping-template,,,
10-1-100-p,mapping-template-rml,19.36,3325083,35.01
10-1-100-p,flex-rml,15.35,560000,19.57
10-1-100-p,rmlweaver-js,30.03,640000,33.75
10-1-100-p,rpt-sansa,40.41,5110000,121.75
10-1-100-p,rml-streamer,66.98,6360000,222.97
10-1-100-p,rml-streamer-view-to-csv,92.02,6150000,246.63
,,,,
5-1-50-p,mapping-template,,,
5-1-50-p,mapping-template-rml,17.62,3322384,32.8
5-1-50-p,flex-rml,14.92,540000,17.93
5-1-50-p,rmlweaver-js,0,,
5-1-50-p,rpt-sansa,38.56,4680000,115.5
5-1-50-p,rml-streamer,61.11,6350000,200.27
5-1-50-p,rml-streamer-view-to-csv,45.41,6130000,108.89
,,,,
10-1-50-p,mapping-template,,,
10-1-50-p,mapping-template-rml,17.69,3349618,32.48
10-1-50-p,flex-rml,14.42,540000,18.17
10-1-50-p,rmlweaver-js,23,640000,26.45
10-1-50-p,rpt-sansa,38.06,4660000,111.74
10-1-50-p,rml-streamer,61.53,6380000,201.97
10-1-50-p,rml-streamer-view-to-csv,42.07,6150000,100.32
,,,,
15-1-50-p,mapping-template,,,
15-1-50-p,mapping-template-rml,17.83,3351384,32.85
15-1-50-p,flex-rml,14.42,550000,18.01
15-1-50-p,rmlweaver-js,22.9,640000,26.37
15-1-50-p,rpt-sansa,37.96,4600000,112.6
15-1-50-p,rml-streamer,57.96,6360000,188.29
15-1-50-p,rml-streamer-view-to-csv,45.6,6140000,109.65
,,,,
20-1-50-p,mapping-template,,,
20-1-50-p,mapping-template-rml,17.9,3321729,32.51
20-1-50-p,flex-rml,14.74,540000,18.2
20-1-50-p,rmlweaver-js,22.89,630000,26.19
20-1-50-p,rpt-sansa,38.16,4260000,114.12
20-1-50-p,rml-streamer,57.47,6330000,183.92
20-1-50-p,rml-streamer-view-to-csv,44.98,6140000,107.32
