mapping,engine,elapsed_time,memory_max,cpu_usage
5-5-25-p,mapping-template,,,
5-5-25-p,mapping-template-rml,20.27,3529437,37.09
5-5-25-p,flex-rml,15.76,550000,20.5
5-5-25-p,rmlweaver-js,35.16,670000,38.83
5-5-25-p,rpt-sansa,39.9,4730000,119.37
5-5-25-p,rml-streamer,69.92,6360000,230.99
5-5-25-p,rml-streamer-view-to-csv,58.13,6130000,147.49
,,,,
5-5-50-p,mapping-template,,,
5-5-50-p,mapping-template-rml,24.96,5388386,40.63
5-5-50-p,flex-rml,17.79,560000,23.7
5-5-50-p,rmlweaver-js,52.51,810000,57.4
5-5-50-p,rpt-sansa,43.46,5050000,131.63
5-5-50-p,rml-streamer,88.85,6360000,300.58
5-5-50-p,rml-streamer-view-to-csv,75.02,6130000,194.92
,,,,
5-5-75-p,mapping-template,,,
5-5-75-p,mapping-template-rml,29.24,10094866,45.51
5-5-75-p,flex-rml,21.17,580000,29.44
5-5-75-p,rmlweaver-js,68.47,780000,76.17
5-5-75-p,rpt-sansa,45.61,5250000,139.21
5-5-75-p,rml-streamer,105.5,6350000,363.86
5-5-75-p,rml-streamer-view-to-csv,86.55,6130000,227.94
,,,,
5-5-100-p,mapping-template,,,
5-5-100-p,mapping-template-rml,31.94,10332364,47.42
5-5-100-p,flex-rml,23.41,590000,32.29
5-5-100-p,rmlweaver-js,82.04,810000,90.99
5-5-100-p,rpt-sansa,50.7,5320000,149.82
5-5-100-p,rml-streamer,109.65,6360000,403.17
5-5-100-p,rml-streamer-view-to-csv,93.29,6130000,249.6
,,,,
10-5-25-p,mapping-template,,,
10-5-25-p,mapping-template-rml,20.54,3400572,36.3
10-5-25-p,flex-rml,15.96,570000,20.51
10-5-25-p,rmlweaver-js,35.24,660000,39.45
10-5-25-p,rpt-sansa,39.58,4160000,119.32
10-5-25-p,rml-streamer,72.69,6340000,244.15
10-5-25-p,rml-streamer-view-to-csv,60.23,6130000,151.16
,,,,
10-5-50-p,mapping-template,,,
10-5-50-p,mapping-template-rml,24.37,5000245,41.06
10-5-50-p,flex-rml,18.21,570000,24.09
10-5-50-p,rmlweaver-js,52.32,730000,58.47
10-5-50-p,rpt-sansa,43.17,4850000,129.45
10-5-50-p,rml-streamer,90.39,6350000,306.98
10-5-50-p,rml-streamer-view-to-csv,70.57,6120000,181.94
,,,,
10-5-75-p,mapping-template,,,
10-5-75-p,mapping-template-rml,28.86,9485471,44.39
10-5-75-p,flex-rml,21.17,600000,28.82
10-5-75-p,rmlweaver-js,67.85,800000,75.81
10-5-75-p,rpt-sansa,45.08,5260000,137.77
10-5-75-p,rml-streamer,103.95,6340000,357.93
10-5-75-p,rml-streamer-view-to-csv,85.47,6130000,225.34
,,,,
10-5-100-p,mapping-template,,,
10-5-100-p,mapping-template-rml,33.55,10312286,48.97
10-5-100-p,flex-rml,22.51,590000,31.44
10-5-100-p,rmlweaver-js,82.35,780000,91.04
10-5-100-p,rpt-sansa,46.32,5680000,141.27
10-5-100-p,rml-streamer,118.95,6330000,411.65
10-5-100-p,rml-streamer-view-to-csv,92.02,6150000,246.63
,,,,
5-10-25-p,mapping-template,,,
5-10-25-p,mapping-template-rml,20.32,3459571,36.25
5-10-25-p,flex-rml,15.96,570000,20.51
5-10-25-p,rmlweaver-js,35.15,680000,39.44
5-10-25-p,rpt-sansa,40.59,4940000,122.53
5-10-25-p,rml-streamer,67.89,6380000,223.07
5-10-25-p,rml-streamer-view-to-csv,58.52,6130000,143.78
,,,,
5-10-50-p,mapping-template,,,
5-10-50-p,mapping-template-rml,24.05,4699205,40
5-10-50-p,flex-rml,18.21,570000,24.09
5-10-50-p,rmlweaver-js,52.94,760000,59.09
5-10-50-p,rpt-sansa,43.17,5080000,131.39
5-10-50-p,rml-streamer,86.35,6380000,292.08
5-10-50-p,rml-streamer-view-to-csv,71.11,6130000,184.05
,,,,
5-10-75-p,mapping-template,,,
5-10-75-p,mapping-template-rml,28.57,9858846,44.21
5-10-75-p,flex-rml,21.17,600000,28.82
5-10-75-p,rmlweaver-js,68.26,770000,75.86
5-10-75-p,rpt-sansa,45.09,5830000,138.87
5-10-75-p,rml-streamer,106.42,6350000,367.13
5-10-75-p,rml-streamer-view-to-csv,83.95,6120000,220.2
,,,,
5-10-100-p,mapping-template,,,
5-10-100-p,mapping-template-rml,31.87,10303700,47.52
5-10-100-p,flex-rml,22.51,590000,31.44
5-10-100-p,rmlweaver-js,81.64,790000,90.94
5-10-100-p,rpt-sansa,47.73,4830000,149.37
5-10-100-p,rml-streamer,120.97,6350000,421.7
5-10-100-p,rml-streamer-view-to-csv,93.29,6130000,249.6
