mapping,engine,elapsed_time,memory_max,cpu_usage
1tm-15pom,mapping-template-rml,14.36,4363599,23.91
1tm-15pom,mapping-template,,,
1tm-15pom,flex-rml,6.54,470000,6.81
1tm-15pom,rmlweaver-js,11.26,540000,13.21
1tm-15pom,rpt-sansa,43.25,4500000,133.92
1tm-15pom,rml-streamer,44.76,6100000,113.01
1tm-15pom,rml-streamer-view-to-csv,,,
,,,,
3tm-5pom,mapping-template-rml,16.09,7035797,27.55
3tm-5pom,mapping-template,,,
3tm-5pom,flex-rml,3.79,510000,9.59
3tm-5pom,rmlweaver-js,15.66,550000,17.73
3tm-5pom,rpt-sansa,44.18,4400000,122.37
3tm-5pom,rml-streamer,43.52,6060000,116.28
3tm-5pom,rml-streamer-view-to-csv,,,
,,,,
5tm-3pom,mapping-template-rml,17.44,5557096,29.8
5tm-3pom,mapping-template,,,
5tm-3pom,flex-rml,4.6,480000,11.48
5tm-3pom,rmlweaver-js,19.86,540000,22.16
5tm-3pom,rpt-sansa,39.38,5070000,117.24
5tm-3pom,rml-streamer,42.88,5900000,114.63
5tm-3pom,rml-streamer-view-to-csv,,,
,,,,
15tm-1pom,mapping-template-rml,24.89,4139610,39.79
15tm-1pom,mapping-template,,,
15tm-1pom,flex-rml,6.34,460000,18.02
15tm-1pom,rmlweaver-js,42.57,550000,46.65
15tm-1pom,rpt-sansa,48.68,3990000,99.8
15tm-1pom,rml-streamer,40.74,6090000,108.58
15tm-1pom,rml-streamer-view-to-csv,,,
