mapping,engine,elapsed_time,memory_max,cpu_usage
1M-1c,mapping-template-rml,17.83,3016613,30.53
1M-1c,mapping-template,5.71,2100000,1.73
1M-1c,flex-rml,5.63,420000,5.8
1M-1c,rmlweaver-js,17.78,470000,19.52
1M-1c,rpt-sansa,40.12,2820000,86.1
1M-1c,rml-streamer,37.11,6090000,93.08
1M-1c,rml-streamer-view-to-csv,,,
,,,,
1M-10c,mapping-template-rml,64.55,11581743,83.76
1M-10c,mapping-template,15.26,3220000,3.73
1M-10c,flex-rml,43.66,790000,43.82
1M-10c,rmlweaver-js,65.63,520000,69.78
1M-10c,rpt-sansa,100.24,11140000,351.05
1M-10c,rml-streamer,168.16,6110000,425.24
1M-10c,rml-streamer-view-to-csv,,,
,,,,
1M-20c,mapping-template-rml,117.86,13155819,144.76
1M-20c,mapping-template,26.82,4230000,6.55
1M-20c,flex-rml,87.01,1200000,88.49
1M-20c,rmlweaver-js,113.74,520000,127.11
1M-20c,rpt-sansa,190.76,12040000,691.83
1M-20c,rml-streamer,316.89,6100000,897.11
1M-20c,rml-streamer-view-to-csv,,,
,,,,
1M-30c,mapping-template-rml,166.48,13175087,198.55
1M-30c,mapping-template,39.34,5220000,7.8
1M-30c,flex-rml,137.3,1740000,140.21
1M-30c,rmlweaver-js,172.82,500000,194.09
1M-30c,rpt-sansa,319.38,5370000,1203.27
1M-30c,rml-streamer,462.99,6150000,1311.78
1M-30c,rml-streamer-view-to-csv,,,
