mapping,engine,elapsed_time,memory_max,cpu_usage
10K-20c,mapping-template-rml,6.67,2053210,14.14
10K-20c,mapping-template,2.41,1040000,0.55
10K-20c,flex-rml,1.23,400000,1.33
10K-20c,rmlweaver-js,2.56,480000,3.34
10K-20c,rpt-sansa,33.06,1680000,97.43
10K-20c,rml-streamer,23.49,1750000,51.06
10K-20c,rml-streamer-view-to-csv,,,
,,,,
100K-20c,mapping-template-rml,17.06,3256598,27.34
100K-20c,mapping-template,4.95,1480000,1.16
100K-20c,flex-rml,8.28,460000,8.4
100K-20c,rmlweaver-js,13.51,490000,14.76
100K-20c,rpt-sansa,48.35,5120000,152.83
100K-20c,rml-streamer,49.84,6160000,129.47
100K-20c,rml-streamer-view-to-csv,,,
,,,,
1M-20c,mapping-template-rml,117.75,13119557,141.78
1M-20c,mapping-template,26.91,4210000,5.61
1M-20c,flex-rml,85.79,1210000,87.32
1M-20c,rmlweaver-js,112.05,500000,125.52
1M-20c,rpt-sansa,187.75,7320000,679.34
1M-20c,rml-streamer,281.09,6110000,792.06
1M-20c,rml-streamer-view-to-csv,,,
,,,,
10M-20c,mapping-template-rml,,OutOfMemory,
10M-20c,mapping-template,,OutOfMemory,
10M-20c,flex-rml,943.34,11820000,963.5
10M-20c,rmlweaver-js,1116.4,540000,1249.97
10M-20c,rpt-sansa,1569.04,6750000,5909.89
10M-20c,rml-streamer,1768.58,6170000,6918.19
10M-20c,rml-streamer-view-to-csv,,,
